question,answer_gold
Đoạn trích nói gì về cách sử dụng dữ liệu không nhãn?,Sử dụng cấu trúc đồ thị để phản ánh nội bộ của dữ liệu.
CDP gồm những phần nào?,Bao gồm 'committee' và môđun khác.
Ai đã đề xuất sử dụng loại trong FUGs?,Bob Kasper
Đoạn trích này có liên quan đến Computer Vision (ECCV) không?,Không
Đoạn trích có liên quan đến Computer Vision không?,Không
Dow Jones industrial average có biến động như thế nào trong các ngày được đề cập?,"Có tăng, giảm và ổn định"
Những nguyên tắc chung nào cần thiết?,General principles are needed to explain how readers recognize the ending boundaries of subjective contexts.
Các yếu tố gì giúp xác định giới hạn của ngữ cảnh chủ quan?,"Tense, deictic terms, characters' goals and argument structure often exhibited by thoughts."
Đoạn trích có đề cập đến Computer Vision không?,Không
Có bài báo nào liên quan đến ngữ pháp chức năng không?,"Có, Halliday, Michael A.K. (1985)"
